,act_data_pkt_fwd,Subflow Fwd Bytes,Total Length of Fwd Packets,Avg Fwd Segment Size,Average Packet Size,Fwd Packet Length Min,Subflow Fwd Packets,ACK Flag Count,Flow Bytes/s,Bwd Packets/s,Bwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Max,Avg Bwd Segment Size,Flow Packets/s,Fwd Packets/s,Packet Length Variance,Init_Win_bytes_forward,Fwd Packet Length Max,Down/Up Ratio
act_data_pkt_fwd,1.0,0.9814577504155073,0.9816250073109585,-0.006487508031465887,-0.006820843900681585,0.0031943239516644168,0.864797835254509,-0.003588831733650061,-0.00602606308726517,-0.0008502871697727498,-0.0003550250093707205,-0.0004993387528108459,-1.0261109684960217e-05,-0.0004843032275023285,-0.008890245889106611,-0.008500255074192423,-0.0002990645435049537,-0.001678087147221428,-0.0014750666748512956,-0.002819858520332233
Subflow Fwd Bytes,0.9814577504155073,1.0,0.9999413968793991,0.030182213626412602,0.024405078696405506,0.027541953318282318,0.8537459885503541,-0.02479897412122406,0.0113222941203636,-0.00553668030269901,-0.005972702595071985,-0.006950274848123399,-0.006323147595831741,-0.004896212062857012,-0.013818275164665538,-0.012511720216811729,0.00025395526049662003,-0.012071313282160377,0.019681550130837302,-0.020116270740701415
Total Length of Fwd Packets,0.9816250073109585,0.9999413968793991,1.0,0.026763266311171176,0.021048994637371598,0.024285933720082007,0.8538546748077307,-0.026223015269783715,0.008830695468683026,-0.005851460635245408,-0.005522647636719815,-0.006489731159381222,-0.005622426350391682,-0.005469769415434749,-0.017494358996022735,-0.016030701007006463,8.00667620947083e-06,-0.013004207030924302,0.017537162439838775,-0.01862418863478942
Avg Fwd Segment Size,-0.006487508031465887,0.030182213626412602,0.026763266311171176,1.0,0.992401851604672,0.9873133325807808,-0.007477186462867198,-0.36847376639120105,0.824504469003433,-0.07983790972512103,-0.13029914377007198,-0.15323008415999512,-0.14802797270383575,-0.12378732756340366,0.3899315743683059,0.3913098648848361,-0.03149788532527938,-0.21201423470415073,0.6112037797562517,-0.308999521008343
Average Packet Size,-0.006820843900681585,0.024405078696405506,0.021048994637371598,0.992401851604672,1.0,0.9839048573703574,-0.007638710299392267,-0.3615475427023198,0.8360677850659868,-0.07841707670173659,-0.053375350971524106,-0.0645448457902991,-0.06912850439388354,-0.035178827467039854,0.40690453554882106,0.40754451938313985,0.024113206874778473,-0.20342859577722272,0.6018597670350609,-0.2848812053323007
Fwd Packet Length Min,0.0031943239516644168,0.027541953318282318,0.024285933720082007,0.9873133325807808,0.9839048573703574,1.0,-0.0073944862794647495,-0.3660204635227388,0.8230234959677898,-0.07722617025815999,-0.14847940090325853,-0.16861898674355247,-0.16530915624164466,-0.14078297366734382,0.40051116669594333,0.40115267839500435,-0.06056758250015706,-0.23306038152902997,0.5913934792568856,-0.3107330363954212
Subflow Fwd Packets,0.864797835254509,0.8537459885503541,0.8538546748077307,-0.007477186462867198,-0.007638710299392267,-0.0073944862794647495,1.0,-0.0035815263122171226,-0.0066102897823666715,-0.000908912236921434,-0.00037701532544131194,2.107137327600334e-05,-0.00018251175849955787,0.0004037400023511085,-0.00964350556059708,-0.00922361020794713,-6.694421801364703e-05,-0.0015634152722395517,-0.004724399419538723,-0.003021229599353
ACK Flag Count,-0.003588831733650061,-0.02479897412122406,-0.026223015269783715,-0.36847376639120105,-0.3615475427023198,-0.3660204635227388,-0.0035815263122171226,1.0,-0.27634698000972036,0.037247217771196814,0.013255319671741995,0.003269964089027398,0.0016051206126540068,0.016453326464303603,-0.1285919215558206,-0.14274343139988283,0.029447609039453943,0.2524420006923852,-0.22480017613560568,0.1350999655038664
Flow Bytes/s,-0.00602606308726517,0.0113222941203636,0.008830695468683026,0.824504469003433,0.8360677850659868,0.8230234959677898,-0.0066102897823666715,-0.27634698000972036,1.0,-0.05843100655568178,-0.11248937737267482,-0.1292591724769584,-0.12609432873158538,-0.10791575687498209,0.6550470437750769,0.6668855522841088,-0.045872691496083716,-0.17599690793995373,0.49168916589863526,-0.24269625778386206
Bwd Packets/s,-0.0008502871697727498,-0.00553668030269901,-0.005851460635245408,-0.07983790972512103,-0.07841707670173659,-0.07722617025815999,-0.000908912236921434,0.037247217771196814,-0.05843100655568178,1.0,-0.013334082115363462,-0.013825180292200347,-0.01468976708785994,-0.01112594139659257,0.0020598144037086226,-0.039933851219843,-0.005624693929643974,0.158963414981768,-0.05315907625739137,0.21953318491408635
Bwd Packet Length Std,-0.0003550250093707205,-0.005972702595071985,-0.005522647636719815,-0.13029914377007198,-0.053375350971524106,-0.14847940090325853,-0.00037701532544131194,0.013255319671741995,-0.11248937737267482,-0.013334082115363462,1.0,0.9187388274382974,0.9801821663021455,0.9061507529339679,-0.16567404174116937,-0.1586282554442701,0.8162912158546903,0.19781654336800003,-0.02355342213244587,0.15016281193053724
