feature,selection_score
act_data_pkt_fwd,98362.15682850359
Subflow Fwd Bytes,68305.7982533593
Total Length of Fwd Packets,68286.93086939341
Avg Fwd Segment Size,33192.73932258864
Average Packet Size,32579.48331075835
Fwd Packet Length Min,30619.848121536103
Subflow Fwd Packets,8485.836692437355
ACK Flag Count,7255.909914531755
Flow Bytes/s,6569.737427824916
Bwd Packets/s,4812.2136032786
Bwd Packet Length Std,2987.2309614987075
Bwd Packet Length Mean,2916.37094177109
Bwd Packet Length Max,2837.0587428779086
Avg Bwd Segment Size,2676.639822514147
Flow Packets/s,2511.0336921354965
Fwd Packets/s,2283.177097670254
Packet Length Variance,2198.7449737481525
Init_Win_bytes_forward,1548.3324005683774
Fwd Packet Length Max,1488.403438964955
Down/Up Ratio,1296.0561864176864
Flow IAT Std,853.4331293046615
Idle Mean,691.3528802511427
Idle Min,690.9713058236596
Idle Max,670.350820932734
Flow IAT Max,641.7725521428398
Bwd Packet Length Min,604.4519731884236
FIN Flag Count,600.0282714341151
Fwd IAT Max,588.3923363114535
SYN Flag Count,574.0609753501801
Destination Port,487.58500978031276
Max Packet Length,445.9299476615724
Total Backward Packets,437.0014967160472
Bwd IAT Mean,381.27173993982734
Fwd IAT Total,374.19745032127554
Fwd IAT Std,368.95349352139607
Flow Duration,354.79746059987934
PSH Flag Count,338.914905987166
URG Flag Count,274.05743978771596
Bwd IAT Max,270.8631228998065
Total Fwd Packets,261.34860170407376
Fwd IAT Min,247.9271674864182
Bwd IAT Std,230.84376763771147
Total Length of Bwd Packets,186.5845621879694
Fwd IAT Mean,185.6978046177514
Active Min,171.62300432710137
Bwd IAT Min,139.13919548932097
Active Mean,131.50286568845766
Bwd IAT Total,123.7773826664946
Idle Std,116.97804071267242
min_seg_size_forward,108.33717535951607
Bwd Header Length,104.99356186202239
Subflow Bwd Packets,88.2402977002517
Flow IAT Mean,83.18309989815454
Active Max,70.68961005093476
Flow IAT Min,57.12855770478097
Fwd PSH Flags,50.01038627240318
Active Std,34.198529995005515
Min Packet Length,33.40693610800431
Init_Win_bytes_backward,30.364977809673597
Fwd Header Length,23.337364467643695
Subflow Bwd Bytes,22.767474767073445
Packet Length Mean,20.26570883105374
Packet Length Std,10.52671067256948
Fwd Packet Length Mean,7.814746975214623
Fwd Packet Length Std,0.3829523284938067
