label,count,percentage,cumulative_percentage,ratio_to_majority
TFTP,1405780,22.44080869,22.44080869,1
Benign,1111331,17.74044756,40.18125625,1.264951666
Syn,453374,7.237319637,47.41857588,3.100707142
MSSQL,405423,6.47186614,53.89044202,3.46744018
DrDoS_SNMP,361144,5.765029673,59.6554717,3.892574707
DrDoS_DNS,354891,5.665211511,65.32068321,3.961159905
DrDoS_MSSQL,315869,5.042293816,70.36297702,4.450515878
DrDoS_NetBIOS,286585,4.574826188,74.93780321,4.905281156
UDP,270636,4.320228415,79.25803163,5.194356996
NetBIOS,255959,4.085935887,83.34396751,5.492207736
DrDoS_UDP,219353,3.50158539,86.8455529,6.408756662
DrDoS_SSDP,182582,2.914600956,89.76015386,7.699444633
DrDoS_LDAP,152756,2.438481251,92.19863511,9.202780905
LDAP,133592,2.132561649,94.33119676,10.52293551
DrDoS_NTP,84088,1.342317234,95.67351399,16.71796213
DDOS attack-HOIC,48100,0.767832021,96.44134601,29.22619543
DDoS attacks-LOIC-HTTP,40232,0.642233219,97.08357923,34.94183734
DoS attacks-Hulk,32128,0.512867093,97.59644633,43.75560259
UDP-lag,25872,0.41300104,98.00944737,54.33596166
Bot,20104,0.320925051,98.33037242,69.92538798
DoS Hulk,16564,0.264415168,98.59478759,84.86959672
FTP-BruteForce,13570,0.216621217,98.8114088,103.5946942
SSH-Bruteforce,13366,0.213364715,99.02477352,105.1758192
Portmap,12987,0.207314646,99.23208816,108.2451682
Infilteration,11345,0.181102999,99.41319116,123.9118554
PortScan,11089,0.177016409,99.59020757,126.7724772
DoS attacks-SlowHTTPTest,9959,0.158977944,99.74918552,141.1567426
DDoS,9023,0.144036348,99.89322186,155.7996232
DoS attacks-GoldenEye,2914,0.046516892,99.93973876,482.4227865
DoS attacks-Slowloris,751,0.011988396,99.95172715,1871.877497
DoS GoldenEye,722,0.011525462,99.96325261,1947.063712
FTP-Patator,580,0.009258681,99.97251129,2423.758621
DoS Slowhttptest,418,0.006672636,99.97918393,3363.110048
SSH-Patator,412,0.006576856,99.98576079,3412.087379
DoS slowloris,390,0.006225665,99.99198645,3604.564103
UDPLag,135,0.002155038,99.99414149,10413.18519
DDOS attack-LOIC-UDP,120,0.001915589,99.99605708,11714.83333
Web Attack � Brute Force,112,0.001787883,99.99784496,12551.60714
Web Attack � XSS,42,0.000670456,99.99851542,33470.95238
Brute Force -Web,34,0.00054275,99.99905817,41346.47059
WebDDoS,33,0.000526787,99.99958496,42599.39394
Brute Force -XSS,15,0.000239449,99.9998244,93718.66667
SQL Injection,9,0.000143669,99.99996807,156197.7778
Infiltration,1,1.60E-05,99.99998404,1405780
Web Attack � Sql Injection,1,1.60E-05,100,1405780
