label,count,percentage
TFTP,1405780,22.4408086915
Benign,1111331,17.7404475551
Syn,453374,7.2373196373
MSSQL,405423,6.4718661399
DrDoS_SNMP,361144,5.7650296733
DrDoS_DNS,354891,5.6652115106
DrDoS_MSSQL,315869,5.0422938160
DrDoS_NetBIOS,286585,4.5748261882
UDP,270636,4.3202284149
NetBIOS,255959,4.0859358875
DrDoS_UDP,219353,3.5015853895
DrDoS_SSDP,182582,2.9146009564
DrDoS_LDAP,152756,2.4384812506
LDAP,133592,2.1325616488
DDoS,97508,1.5565439641
DrDoS_NTP,84088,1.3423172340
DoS_Hulk,48692,0.7772822610
UDP_Lag,26007,0.4151560782
Bot,20104,0.3209250508
FTP_BruteForce,14150,0.2258798980
SSH_BruteForce,13778,0.2199415713
Portmap,12987,0.2073146456
Infiltration,11346,0.1811189627
PortScan,11089,0.1770164091
DoS_SlowHTTPTest,10377,0.1656505796
DoS_GoldenEye,3636,0.0580423540
DoS_Slowloris,1141,0.0182140610
Web_Attack,213,0.0034001709
