label,count,percentage
TFTP,1405780,22.4408086915
Benign,1111331,17.7404475551
Syn,453374,7.2373196373
MSSQL,405423,6.4718661399
DrDoS_SNMP,361144,5.7650296733
DrDoS_DNS,354891,5.6652115106
DrDoS_MSSQL,315869,5.0422938160
DrDoS_NetBIOS,286585,4.5748261882
UDP,270636,4.3202284149
NetBIOS,255959,4.0859358875
DrDoS_UDP,219353,3.5015853895
DrDoS_SSDP,182582,2.9146009564
DrDoS_LDAP,152756,2.4384812506
LDAP,133592,2.1325616488
DrDoS_NTP,84088,1.3423172340
DDOS attack-HOIC,48100,0.7678320207
DDoS attacks-LOIC-HTTP,40232,0.6422332195
DoS attacks-Hulk,32128,0.5128670927
UDP-lag,25872,0.4130010403
Bot,20104,0.3209250508
DoS Hulk,16564,0.2644151682
FTP-BruteForce,13570,0.2166212167
SSH-Bruteforce,13366,0.2133647149
Portmap,12987,0.2073146456
Infilteration,11345,0.1811029995
PortScan,11089,0.1770164091
DoS attacks-SlowHTTPTest,9959,0.1589779437
DDoS,9023,0.1440363477
DoS attacks-GoldenEye,2914,0.0465168921
DoS attacks-Slowloris,751,0.0119883960
DoS GoldenEye,722,0.0115254619
FTP-Patator,580,0.0092586813
DoS Slowhttptest,418,0.0066726359
SSH-Patator,412,0.0065768564
DoS slowloris,390,0.0062256650
UDPLag,135,0.0021550379
DDOS attack-LOIC-UDP,120,0.0019155892
Web Attack-Brute Force,112,0.0017878833
Web Attack-XSS,42,0.0006704562
Brute Force-Web,34,0.0005427503
WebDDoS,33,0.0005267870
Brute Force-XSS,15,0.0002394487
SQL Injection,9,0.0001436692
Infiltration,1,0.0000159632
Web Attack-Sql Injection,1,0.0000159632
