| Nhãn số | Nhãn chữ                 |
| ------: | ------------------------ |
|       0 | Benign                   |
|       1 | Bot                      |
|       2 | Brute Force -Web         |
|       3 | Brute Force -XSS         |
|       4 | Brute Force-Web          |
|       5 | Brute Force-XSS          |
|       6 | DDOS attack-HOIC         |
|       7 | DDOS attack-LOIC-UDP     |
|       8 | DDoS attacks-LOIC-HTTP   |
|       9 | DoS attacks-GoldenEye    |
|      10 | DoS attacks-Hulk         |
|      11 | DoS attacks-SlowHTTPTest |
|      12 | DoS attacks-Slowloris    |
|      13 | FTP-BruteForce           |
|      14 | Infilteration            |
|      15 | Infiltration             |
|      16 | SQL Injection            |
|      17 | SSH-Bruteforce           |
|      18 | Web attack-SQL Injection |
