iter	MultiClass
0	1.362343313
1	1.125957206
2	1.006780468
3	0.8963927727
4	0.8266002525
5	0.7828680539
6	0.7497077466
7	0.7184913889
8	0.7015911881
9	0.6902062483
10	0.6777600878
11	0.6606380027
12	0.6470184932
13	0.6401192327
14	0.6346611156
15	0.6302886635
16	0.6268628286
17	0.6234319802
18	0.6164254631
19	0.6142298685
20	0.6071874201
21	0.6023027128
22	0.599716911
23	0.5966978734
24	0.5937186387
25	0.5894034772
26	0.5863996231
27	0.5852026673
28	0.5843240866
29	0.5814846618
30	0.5791278217
31	0.5772269807
32	0.5755267724
33	0.5744956133
34	0.5738570366
35	0.5730346921
36	0.5715202803
37	0.5708378975
38	0.568524799
39	0.5677532808
40	0.5657752325
41	0.5647490364
42	0.564063619
43	0.5632450578
44	0.5625298764
45	0.5618518683
46	0.5611083091
47	0.5609125795
48	0.5591108559
49	0.5578780022
50	0.5570896014
51	0.5562992402
52	0.5556751112
53	0.5553941953
54	0.554767709
55	0.5538720857
56	0.5533375102
57	0.552760121
58	0.5523050581
59	0.5519318993
60	0.5510366417
61	0.550523419
62	0.5501827913
63	0.5497083086
64	0.5493743459
65	0.5488712852
66	0.5481812131
67	0.5477130584
68	0.5473525864
69	0.5472389414
70	0.5470722957
71	0.5464989485
72	0.5460442157
73	0.545595503
74	0.545156322
75	0.5448255453
76	0.5446641051
77	0.544399594
78	0.5442271454
79	0.5439460647
80	0.5437159382
81	0.5433297581
82	0.5431450129
83	0.5429248773
84	0.5424168797
85	0.5421837975
86	0.5416079743
87	0.5414404904
88	0.5409150462
89	0.5407841408
90	0.540611113
91	0.5403400155
92	0.5401234792
93	0.5398156477
94	0.5395994625
95	0.5395593429
96	0.5392736682
97	0.5390583986
98	0.5388600187
99	0.5387290236
100	0.5384107225
101	0.5382469735
102	0.5380727319
103	0.5378228011
104	0.5376029886
105	0.5374090986
106	0.5369636854
107	0.536751361
108	0.5365899547
109	0.53654372
110	0.5363803666
111	0.5362592925
112	0.5361049808
113	0.5359477062
114	0.5357118842
115	0.5356453485
116	0.5355734496
117	0.5354263081
118	0.5352884763
119	0.5351706011
120	0.5350176367
121	0.5348990715
122	0.5346840979
123	0.534520692
124	0.5344178368
125	0.5342934151
126	0.5340824678
127	0.5339295959
128	0.5337568216
129	0.5336761932
130	0.5335841985
131	0.5334472942
132	0.5333245049
133	0.5332226698
134	0.53313663
135	0.5330246855
136	0.5329159526
137	0.5327971547
138	0.532663615
139	0.5325521192
140	0.5324787023
141	0.5323386537
142	0.5322143671
143	0.5321365476
144	0.5320724127
145	0.5318804211
146	0.531789373
147	0.5316994781
148	0.5315141255
149	0.5314314911
150	0.5312682693
151	0.53115302
152	0.5310151854
153	0.5309214109
154	0.5308367885
155	0.5307648971
156	0.5306720071
157	0.5305499897
158	0.5305277976
159	0.5304453267
160	0.5303380709
161	0.5302693683
162	0.5301669707
163	0.5301392724
164	0.5300153122
165	0.5298509825
166	0.5297709838
167	0.5296654618
168	0.5295643161
169	0.5294268399
170	0.5293550722
171	0.5292871858
172	0.5292250805
173	0.5290843771
174	0.5290344966
175	0.5288649048
176	0.5287442182
177	0.5286144387
178	0.5284347277
179	0.5284078501
180	0.5283206635
181	0.5282440905
182	0.5282007597
183	0.5281398012
184	0.5280812702
185	0.5280103283
186	0.5279521144
187	0.5278759075
188	0.5278285214
189	0.5277957416
190	0.5277495681
191	0.527626397
192	0.5275027309
193	0.5274616124
194	0.5274148235
195	0.5273585031
196	0.5272891164
197	0.527178125
198	0.5271429127
199	0.5270590109
200	0.5269826236
201	0.5269485384
202	0.5268508312
203	0.5267391267
204	0.5266318452
205	0.5265877555
206	0.5265266992
207	0.5264655024
208	0.5263958924
209	0.5263234571
210	0.5262190782
211	0.5261939507
212	0.5261301054
213	0.5260714048
214	0.5259768934
215	0.525918868
216	0.5258786613
217	0.525759344
218	0.5257045199
219	0.5256025464
220	0.525552118
221	0.5255007961
222	0.5254198351
223	0.5253608782
224	0.5252705238
225	0.5251779273
226	0.525083663
227	0.5250114871
228	0.5249583929
229	0.5248668427
230	0.5248286127
231	0.5247977612
232	0.5246929287
233	0.5246411109
234	0.5245648455
235	0.5245233243
236	0.5244887508
237	0.5244097905
238	0.5243400552
239	0.5242410985
240	0.5241800442
241	0.5241155174
242	0.5240319999
243	0.5239570768
244	0.5239002477
245	0.5238620686
246	0.5238061441
247	0.5237566834
248	0.5236827702
249	0.5236099019
250	0.5235351968
251	0.5234973583
252	0.5234502001
