iter	Passed	Remaining
0	4156	1782959
1	8337	1784141
2	12686	1805747
3	16615	1769541
4	20822	1769881
5	24839	1755299
6	29048	1755343
7	33103	1746205
8	37227	1741401
9	41269	1733311
10	45179	1720946
11	48950	1705107
12	52487	1683646
13	56072	1666145
14	59779	1653885
15	63539	1644071
16	67694	1644576
17	72074	1649700
18	76244	1649297
19	80309	1646349
20	84251	1640889
21	88272	1637054
22	92460	1636147
23	96715	1636108
24	100829	1633435
25	105209	1634794
26	109280	1631108
27	113640	1631552
28	118014	1631856
29	121869	1624932
30	126085	1622842
31	130054	1617556
32	134039	1612533
33	138387	1611808
34	142739	1610914
35	146896	1607696
36	150993	1603793
37	155254	1601568
38	158618	1590247
39	162636	1585702
40	166507	1579793
41	170184	1572176
42	174158	1567424
43	178366	1564758
44	182577	1562056
45	186347	1555600
46	190321	1550916
47	194587	1548589
48	198677	1544818
49	202815	1541394
50	206540	1534879
51	210753	1532013
52	214631	1526717
53	218737	1523063
54	222803	1519116
55	226514	1512794
56	230403	1507727
57	234665	1505094
58	239112	1503574
59	243438	1501203
60	247347	1496251
61	251795	1494525
62	255841	1490380
63	259483	1483923
64	262999	1476843
65	266832	1471619
66	270262	1464259
67	274220	1459818
68	278094	1454959
69	282457	1452639
70	286871	1450518
71	290669	1445273
72	294937	1442364
73	299135	1439085
74	303064	1434507
75	307180	1430816
76	311526	1428167
77	315696	1424682
78	319910	1421376
79	324203	1418390
80	328122	1413761
81	331934	1408696
82	335873	1404193
83	340118	1400963
84	343927	1395941
85	348136	1392544
86	351887	1387324
87	355989	1383503
88	359511	1377455
89	363223	1372176
90	367051	1367367
91	370568	1361435
92	374268	1356221
93	378251	1352048
94	382298	1348106
95	386603	1345056
96	390798	1341608
97	394715	1337199
98	398703	1333040
99	402747	1329068
100	406765	1325008
101	410677	1320611
102	414812	1316928
103	418606	1312169
104	422582	1307992
105	426986	1305128
106	431245	1301798
107	435274	1297762
108	439065	1293026
109	443286	1289559
110	447515	1286102
111	451368	1281563
112	455590	1278071
113	459205	1272884
114	462785	1267630
115	466571	1262959
116	470443	1258538
117	474362	1254246
118	478460	1250430
119	482324	1246004
120	486150	1241491
121	490208	1237575
122	494198	1233488
123	498293	1229659
124	502496	1226091
125	506580	1222226
126	510410	1217750
127	514679	1214322
128	518778	1210483
129	522975	1206867
130	526848	1202501
131	531120	1199043
132	534874	1194419
133	538838	1190270
134	543198	1186989
135	547187	1182889
136	551528	1179546
137	555654	1175732
138	559393	1171103
139	562938	1166086
140	566677	1161487
141	570121	1156303
142	573771	1151555
143	577829	1147634
144	582024	1143979
145	585946	1139786
146	590240	1136312
147	594284	1132352
148	598030	1127830
149	602079	1123880
150	605960	1119623
151	610124	1115885
152	614020	1111657
153	618120	1107800
154	622271	1104030
155	626785	1100892
156	630882	1097012
157	634704	1092655
158	639112	1089304
159	643267	1085513
160	647271	1081465
161	651275	1077419
162	655164	1073184
163	659026	1068908
164	662619	1064206
165	666174	1059458
166	669819	1054865
167	673414	1050206
168	677087	1045679
169	681351	1042066
170	685404	1038127
171	689736	1034604
172	693745	1030592
173	697746	1026569
174	702218	1023232
175	706539	1019665
176	710235	1015194
177	714319	1011283
178	718335	1007274
179	722420	1003361
180	726593	999568
181	730516	995429
182	734982	992025
183	739145	988205
184	743521	984663
185	747818	981009
186	751752	976876
187	755844	972948
188	759527	968498
189	763318	964191
190	766879	959603
191	770561	955175
192	774130	950616
193	778327	946831
194	782699	943253
195	786886	939445
196	790659	935145
197	794748	931220
198	799074	927569
199	803423	923937
200	807421	919897
201	811277	915699
202	815142	911514
203	819227	907575
204	823095	903397
205	827355	899649
206	831539	895812
207	835429	891659
208	839182	887365
209	843349	883508
210	847523	879657
211	851754	875860
212	855759	871830
213	859587	867620
214	863207	863207
215	866862	858835
216	870502	854456
217	874334	850270
218	877984	845912
219	882074	841980
220	886399	838268
221	890436	834282
222	894605	830418
223	898352	826163
224	902331	822123
225	906283	818061
226	910212	813978
227	914003	809774
228	918193	805924
229	921813	801576
230	926014	797735
231	930109	793800
232	934200	789860
233	938824	786366
234	942925	782427
235	947246	778668
236	951385	774757
237	955436	770772
238	959016	766411
239	962498	761978
240	966088	757637
241	969915	753488
242	973608	749237
243	977610	745227
244	981669	741260
245	986098	737569
246	990153	733595
247	994261	729659
248	998140	725556
249	1002237	721611
250	1006276	717623
251	1010451	713731
252	1014630	709840
253	1018824	705956
254	1022985	702048
255	1027277	698227
256	1031461	694330
257	1035857	690571
258	1039984	686630
259	1043938	682575
260	1048101	678655
261	1052160	674667
262	1055991	670534
263	1059662	666302
264	1063330	662073
265	1066978	657836
266	1070736	653670
267	1074470	649493
268	1078353	645408
269	1082582	641530
270	1086620	637537
271	1090329	633353
272	1094632	629513
273	1098906	625654
274	1103429	621933
275	1107523	617966
276	1111436	613898
277	1115365	609840
278	1119461	605873
279	1123346	601792
280	1127436	597821
281	1131791	593989
282	1135833	589991
283	1140017	586065
284	1143987	582028
285	1148009	578018
286	1152180	574082
287	1155751	569849
288	1159464	565690
289	1163175	561533
290	1166928	557398
291	1170869	553356
292	1175381	549581
293	1179926	545816
294	1184098	541875
295	1187966	537795
296	1191344	533497
297	1194964	529313
298	1198429	525064
299	1201867	520809
300	1205320	516565
301	1208865	512366
302	1212301	508126
303	1215704	503877
304	1219279	499704
305	1222733	495486
306	1226161	491263
307	1229640	487065
308	1233049	482844
309	1236497	478644
310	1240080	474500
311	1243769	470399
312	1247299	466243
313	1251123	462198
314	1254645	458045
315	1258071	453861
316	1261451	449665
317	1264828	445474
318	1268450	441373
319	1272096	437283
320	1275761	433202
321	1279396	429114
322	1282946	425000
323	1286470	420882
324	1289940	416749
325	1293458	412637
326	1296786	408467
327	1300395	404391
328	1304058	400334
329	1307810	396306
330	1311424	392238
331	1315204	388223
332	1319030	384222
333	1322760	380194
