,precision,recall,f1-score,support
0,0.9999199274008435,0.9900173754484253,0.9949440123229325,454089.0
1,0.29968203497615264,0.9766839378238342,0.4586374695863747,386.0
2,0.9985164363238854,0.9995310301703924,0.9990234756454826,25588.0
3,0.9748218527315915,0.9985401459854014,0.9865384615384616,2055.0
4,0.9767987817774206,0.9984003112907759,0.9874814252573738,46259.0
5,0.9775583482944344,0.9873073436083409,0.9824086603518268,1103.0
6,0.9751499571550986,0.9930191972076788,0.9840034587116299,1146.0
7,0.9974587039390089,1.0,0.9987277353689568,1570.0
8,1.0,1.0,1.0,3.0
9,1.0,1.0,1.0,5.0
10,0.993916779028566,0.9995269929364279,0.9967139914783893,31712.0
11,0.9904306220095693,1.0,0.9951923076923077,1242.0
12,0.13220338983050847,0.5360824742268041,0.21210061182868797,291.0
13,0.023255813953488372,0.4,0.04395604395604396,5.0
14,0.057201929703652656,0.680327868852459,0.10553083280356007,122.0
accuracy,0.9914335120302135,0.9914335120302135,0.9914335120302135,0.9914335120302135
macro avg,0.7597943051416146,0.903962445170036,0.7830172324361352,565576.0
weighted avg,0.9962797187461274,0.9914335120302135,0.9935823376232175,565576.0
