,precision,recall,f1-score,support
0,0.9999489758567065,0.992633602663795,0.9962778607866887,454089.0
1,0.5617647058823529,0.9896373056994818,0.7166979362101313,386.0
2,0.996571072319202,0.9995310301703924,0.9980488566299852,25588.0
3,0.9665409990574929,0.9980535279805353,0.9820445295666747,2055.0
4,0.9955623532452985,0.9990488337404613,0.997302546396202,46259.0
5,0.9654255319148937,0.9873073436083409,0.9762438368444644,1103.0
6,0.9260162601626016,0.993891797556719,0.9587542087542088,1146.0
7,0.9968253968253968,1.0,0.9984101748807631,1570.0
8,1.0,1.0,1.0,3.0
9,0.8333333333333334,1.0,0.9090909090909091,5.0
10,0.9937290314489072,0.9994008577194753,0.9965568744595551,31712.0
11,0.9928057553956835,1.0,0.9963898916967509,1242.0
12,0.13580246913580246,0.6048109965635738,0.22180214240705734,291.0
13,0.09523809523809523,0.4,0.15384615384615385,5.0
14,0.052666227781435156,0.6557377049180327,0.09750152346130408,122.0
accuracy,0.9936188947197193,0.9936188947197193,0.9936188947197193,0.9936188947197193
macro avg,0.7674820138398135,0.9080035333747206,0.7999311630020565,565576.0
weighted avg,0.9977682473132383,0.9936188947197193,0.9955054183140623,565576.0
