,precision,recall,f1-score,support
0,0.9999113072207009,0.993098269282013,0.9964931431778707,454089.0
1,0.6210873146622735,0.9766839378238342,0.7593152064451159,386.0
2,0.9974650963263396,0.9995701109895263,0.9985164942416552,25588.0
3,0.969281663516068,0.9980535279805353,0.9834572045073124,2055.0
4,0.9968938070277616,0.9990488337404613,0.9979701569889222,46259.0
5,0.958590308370044,0.986400725294651,0.9722966934763181,1103.0
6,0.9334975369458128,0.9921465968586387,0.9619289340101523,1146.0
7,0.9936708860759493,1.0,0.9968253968253968,1570.0
8,1.0,1.0,1.0,3.0
9,0.7142857142857143,1.0,0.8333333333333334,5.0
10,0.9932944789120762,0.9996215943491423,0.9964479929588533,31712.0
11,0.9936,1.0,0.9967897271268058,1242.0
12,0.13020833333333334,0.6013745704467354,0.21406727828746178,291.0
13,0.08333333333333333,0.4,0.13793103448275862,5.0
14,0.05788712011577424,0.6557377049180327,0.10638297872340426,122.0
accuracy,0.9939901976038588,0.9939901976038588,0.9939901976038588,0.9939901976038588
macro avg,0.7628671266750122,0.9067823914455713,0.7967837049723574,565576.0
weighted avg,0.9979053387226208,0.9939901976038588,0.9957744787006098,565576.0
