,precision,recall,f1-score,support
0,0.9999246126420165,0.9931313024539242,0.9965163800846984,454089.0
1,0.6306156405990017,0.9818652849740933,0.767983789260385,386.0
2,0.9969979336426371,0.9993747068938565,0.9981849054394285,25588.0
3,0.9711174242424242,0.9980535279805353,0.984401247900168,2055.0
4,0.9957762261873976,0.9988975118355347,0.9973344269017839,46259.0
5,0.9740608228980322,0.9873073436083409,0.9806393516434039,1103.0
6,0.9595278246205734,0.9930191972076788,0.9759862778730704,1146.0
7,0.9980928162746344,1.0,0.9990454979319122,1570.0
8,1.0,1.0,1.0,3.0
9,0.8333333333333334,1.0,0.9090909090909091,5.0
10,0.9937290314489072,0.9994008577194753,0.9965568744595551,31712.0
11,0.9928057553956835,1.0,0.9963898916967509,1242.0
12,0.13435114503816795,0.6048109965635738,0.2198625858838226,291.0
13,0.10526315789473684,0.4,0.16666666666666666,5.0
14,0.053213545266067724,0.6311475409836066,0.09815168897386871,122.0
accuracy,0.9939866613859145,0.9939866613859145,0.9939866613859145,0.9939866613859145
macro avg,0.7759206179655743,0.9058005513480414,0.8057873662537615,565576.0
weighted avg,0.9979368319293206,0.9939866613859145,0.9957937562832164,565576.0
