,precision,recall,f1-score,support
0,0.32559010865492694,0.5276259866423801,0.40268767377201115,1647.0
1,0.5289076644538322,0.5500188276641145,0.5392567068668471,7967.0
2,0.017033356990773598,0.3333333333333333,0.03241053342336259,72.0
3,0.9993398215388547,0.9576539254300933,0.9780528981429375,49001.0
4,0.2718208564890487,0.4120416253716551,0.32755564309631674,4036.0
5,0.841617673258507,0.9362798533346547,0.8864286719519632,10091.0
6,0.43535496003761165,0.4331150608044902,0.434232121922626,6414.0
7,0.2595566977192419,0.5401069518716578,0.35061835539162506,1496.0
8,0.9995990700912504,0.9872731905122956,0.993397897519926,325769.0
9,0.9756304805927537,0.9180605750471743,0.9459704394536077,31267.0
10,0.9965109223300971,0.9460964579592699,0.9706495131237409,104149.0
11,0.2830748927746618,0.49154969922658265,0.35925887155867264,3491.0
12,0.018779342723004695,0.2962962962962963,0.03532008830022075,27.0
13,0.5750394944707741,0.5769274312238197,0.5759819157954225,8833.0
14,0.1854658938921088,0.6162962962962963,0.2851267991775189,675.0
15,0.05229793977812995,0.5,0.09469153515064563,132.0
accuracy,0.9423420956389048,0.9423420956389048,0.9423420956389048,0.9423420956389048
macro avg,0.4853511984872236,0.6264172194383821,0.5132274790404653,555067.0
weighted avg,0.959559133626613,0.9423420956389048,0.9499751428993096,555067.0
