,precision,recall,f1-score,support
0,0.37102338060559603,0.5877352762598664,0.4548872180451128,1647.0
1,0.6288707799767171,0.6780469436425254,0.6525336715588573,7967.0
2,0.02902757619738752,0.2777777777777778,0.052562417871222074,72.0
3,0.9954726241854954,0.96026611701802,0.9775524831461841,49001.0
4,0.31416666666666665,0.4670465807730426,0.3756476683937824,4036.0
5,0.8790262865605332,0.9411356654444555,0.9090212969609954,10091.0
6,0.48027773674102525,0.506859993763642,0.49321095350072064,6414.0
7,0.3486015403323875,0.5748663101604278,0.43401463537723944,1496.0
8,0.9984294069539789,0.9893544198496481,0.9938711980227483,325769.0
9,0.9744580239102201,0.9358748840630697,0.9547768206734534,31267.0
10,0.993717246009399,0.9521934920162459,0.9725123316956449,104149.0
11,0.3236837343947892,0.5124606130048697,0.3967620314925704,3491.0
12,0.037037037037037035,0.2962962962962963,0.06584362139917696,27.0
13,0.6169853174184008,0.6612702366127023,0.638360655737705,8833.0
14,0.28292046936114734,0.642962962962963,0.3929379809868719,675.0
15,0.12778904665314403,0.4772727272727273,0.2016,132.0
accuracy,0.950885208452313,0.950885208452313,0.950885208452313,0.950885208452313
macro avg,0.5250929295627453,0.6538387685573924,0.5603809365538928,555067.0
weighted avg,0.9623195216901838,0.950885208452313,0.9558909746231827,555067.0
