,precision,recall,f1-score,support
0,0.9915675436319494,0.966900802912372,0.9790788355311141,268647.0
1,0.9984232655921513,0.9994738688179586,0.9989482909728309,5702.0
2,0.19036697247706422,0.680327868852459,0.2974910394265233,122.0
3,0.8148148148148148,0.9565217391304348,0.88,46.0
4,0.9998539079620161,1.0,0.9999269486448974,13688.0
5,0.9664804469273743,1.0,0.9829545454545454,346.0
6,0.9990443923203892,0.9989576094510076,0.999000999000999,11512.0
7,0.9963636363636363,1.0,0.9981785063752276,822.0
8,0.9998915518924195,0.9997831273042724,0.999837336658895,9222.0
9,0.7543766578249337,0.5087656529516995,0.6076923076923076,2795.0
10,0.9861751152073732,0.9953488372093023,0.9907407407407407,215.0
11,0.712612424179042,0.8803617571059431,0.787654606403884,3870.0
12,0.10911966262519768,0.32142857142857145,0.16292798110979928,3220.0
13,0.16666666666666666,0.8823529411764706,0.2803738317757009,17.0
14,1.0,0.9997331910352187,0.999866577718479,3748.0
accuracy,0.9599502426135592,0.9599502426135592,0.9599502426135592,0.9599502426135592
macro avg,0.7790504705656685,0.8793303978250474,0.7976448365003962,323972.0
weighted avg,0.9781008640111744,0.9599502426135592,0.9679990877659062,323972.0
