,precision,recall,f1-score,support
0,0.9891705130497981,0.9676452742818643,0.9782895033944996,268647.0
1,0.8676627534685165,0.9980708523325149,0.9283092733056031,5702.0
2,1.0,0.23770491803278687,0.3841059602649007,122.0
3,0.9583333333333334,0.5,0.6571428571428571,46.0
4,0.9826274228284279,1.0,0.9912375986675357,13688.0
5,0.9719101123595506,1.0,0.9857549857549858,346.0
6,0.7530353744175362,0.9966990965948576,0.8579012299525216,11512.0
7,0.36083916083916084,0.9416058394160584,0.5217391304347826,822.0
8,0.9549393414211439,0.9559748427672956,0.9554568115313753,9222.0
9,0.5278893351182508,0.8465116279069768,0.6502679675690531,2795.0
10,0.39579349904397704,0.9627906976744186,0.5609756097560976,215.0
11,0.8005476951163852,0.4532299741602067,0.5787823791453556,3870.0
12,0.3154121863799283,0.1093167701863354,0.16236162361623616,3220.0
13,0.00628140703517588,0.5882352941176471,0.012430080795525171,17.0
14,0.9981358189081225,1.0,0.9990670398507264,3748.0
accuracy,0.9545053276209056,0.9545053276209056,0.9545053276209056,0.9545053276209056
macro avg,0.7255051968879539,0.7705190124980642,0.6815881367454703,323972.0
weighted avg,0.9625062931670731,0.9545053276209056,0.955810216459821,323972.0
