,precision,recall,f1-score,support
0,0.9915291474509115,0.9659664913436592,0.978580909858815,268647.0
1,0.9987732211706976,0.9994738688179586,0.9991234221598878,5702.0
2,0.5151515151515151,0.6967213114754098,0.5923344947735192,122.0
3,1.0,0.9347826086956522,0.9662921348314607,46.0
4,0.9999269486448974,1.0,0.9999634729882748,13688.0
5,0.969187675070028,1.0,0.984352773826458,346.0
6,0.9997392211404729,0.9990444753300903,0.9993917274939172,11512.0
7,0.9975728155339806,1.0,0.9987849331713244,822.0
8,1.0,0.9997831273042724,0.9998915518924195,9222.0
9,0.6765140324963073,0.16386404293381038,0.2638248847926267,2795.0
10,0.9953703703703703,1.0,0.9976798143851509,215.0
11,0.6097194388777555,0.9434108527131783,0.740718198417529,3870.0
12,0.10311322625421376,0.32298136645962733,0.15632045693672028,3220.0
13,0.5357142857142857,0.8823529411764706,0.6666666666666666,17.0
14,1.0,1.0,1.0,3748.0
accuracy,0.9569808501969306,0.9569808501969306,0.9569808501969306,0.9569808501969306
macro avg,0.8261541265250291,0.8605587390833419,0.8229283628129846,323972.0
weighted avg,0.9763255261389314,0.9569808501969306,0.9641659859115328,323972.0
